timestamp,image_path,mask_path,overlay_path,mask_ratio
2024-01-01,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240101.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240101.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240101.png,0.0
2024-01-13,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240113.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240113.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240113.png,0.02978515625
2024-01-25,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240125.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240125.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240125.png,0.0301513671875
2024-02-06,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240206.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240206.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240206.png,0.02984619140625
2024-02-18,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240218.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240218.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240218.png,0.02972412109375
2024-03-01,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240301.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240301.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240301.png,0.02972412109375
2024-03-13,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240313.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240313.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240313.png,0.0296630859375
2024-03-25,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240325.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240325.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240325.png,0.03021240234375
2024-04-06,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240406.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240406.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240406.png,0.02984619140625
2024-04-18,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240418.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240418.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240418.png,0.02984619140625
2024-04-30,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240430.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240430.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240430.png,0.0299072265625
2024-05-12,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240512.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240512.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240512.png,0.03009033203125
2024-05-24,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240524.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240524.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240524.png,0.02996826171875
2024-06-05,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240605.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240605.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240605.png,0.03009033203125
2024-06-17,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240617.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240617.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240617.png,0.0303955078125
2024-06-29,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240629.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240629.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240629.png,0.030029296875
2024-07-11,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240711.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240711.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240711.png,0.0299072265625
2024-07-23,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240723.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240723.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240723.png,0.03045654296875
2024-08-04,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240804.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240804.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240804.png,0.02996826171875
2024-08-16,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240816.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240816.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240816.png,0.030517578125
2024-08-28,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240828.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240828.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240828.png,0.03082275390625
2024-09-09,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240909.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240909.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240909.png,0.0302734375
2024-09-21,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20240921.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20240921.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20240921.png,0.0302734375
2024-10-03,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20241003.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20241003.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20241003.png,0.03009033203125
2024-10-15,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20241015.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20241015.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20241015.png,0.030029296875
2024-10-27,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20241027.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20241027.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20241027.png,0.03057861328125
2024-11-08,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20241108.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20241108.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20241108.png,0.03021240234375
2024-11-20,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20241120.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20241120.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20241120.png,0.0301513671875
2024-12-02,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20241202.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20241202.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20241202.png,0.030029296875
2024-12-14,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\raw\sentinel_images\sar_20241214.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\masks\mask_sar_20241214.png,C:\capstone mainproject\Structural-Health-Monitoring\data\insar\processed\overlays\overlay_sar_20241214.png,0.02996826171875
